date,open,low,high,close,volume
2014-11-25,"5,245","5,050","5,345","5,065",10.92451802
2014-11-26,"5,150","4,950","5,345","4,985",18.68375302
2014-11-27,"4,990","4,986","5,090","4,990",3.22370662
2014-11-28,"5,089","4,950","5,220","5,200",7.26315175
2014-11-29,"5,100","5,100","5,275","5,100",6.0123439
2014-11-30,"5,268","5,260","5,268","5,260",0.1914
2014-12-01,"5,145","5,001","5,300","5,055",7.55793644
2014-12-02,"5,300","5,250","5,340","5,319",10.88836225
2014-12-03,"5,250","5,150","5,300","5,280",6.21046978
2014-12-04,"5,275","5,080","5,280","5,150",14.68077186
2014-12-05,"5,269","5,081","5,269","5,264",5.55632362
2014-12-06,"5,265","5,125","5,287.5","5,285",4.72679643
2014-12-07,"5,279","5,270","5,300","5,300",4.14845
2014-12-08,"5,205","5,003","5,395","5,003",12.58673702
2014-12-09,"5,150","4,960","5,450","5,085",12.76550825
2014-12-10,"5,060","5,025","5,250","5,225",5.24947539
2014-12-11,"5,225","5,065","5,250.46","5,250.46",10.76218625
2014-12-12,"5,150","5,110","5,268.18","5,268.18",19.3705431
2014-12-13,"5,070","5,070","5,145","5,145",1.78312756
2014-12-14,"5,259","5,259","5,265","5,265",0.94184159
2014-12-15,"5,120","5,020","5,270","5,020",10.9647015
2014-12-16,"5,020","4,900","5,185","5,125",7.11972605
2014-12-17,"4,900","4,786.5","4,900","4,800",4.99478041
2014-12-18,"4,820","4,600","4,900","4,630",7.16092981
2014-12-19,"4,725","4,635","4,750","4,745",3.75190663
2014-12-20,"4,645","4,645","4,995","4,760",11.00079662
2014-12-21,"4,880","4,710","4,960","4,905",3.90735067
2014-12-22,"4,885","4,850","5,200","4,940",7.97005787
2014-12-23,"5,145","4,935","5,155","5,151",10.4194512
2014-12-24,"4,955","4,900","5,135","5,000",5.80621683
2014-12-25,"5,000","5,000","5,000","5,000",0.02257799
2014-12-26,"5,000","4,810","5,050","4,810",5.67720735
2014-12-27,"4,810","4,695","5,050","5,050",1.91845655
2014-12-28,"4,999","4,750.5","5,000","4,990",0.1814301
2014-12-29,"4,750.5","4,625","4,820","4,625",3.99401827
2014-12-30,"4,625","4,422","4,650","4,600",18.40048452
2014-12-31,"4,600","4,383","4,660","4,650",18.33655426
2015-01-01,"4,510","4,510","4,650","4,650",1.23835161
2015-01-02,"4,645","4,452","4,660","4,500",18.32747832
2015-01-03,"4,498","4,240","4,575","4,425",12.18204659
2015-01-04,"4,320","3,950","4,320","3,975",8.43388094
2015-01-05,"4,035","3,950","4,150","4,135",4.59964369
2015-01-06,"4,000","3,875","4,295","4,295",17.50181092
2015-01-07,"4,295","4,165","4,495","4,360",22.45802787
2015-01-08,"4,282","4,030","4,430","4,200",14.37496413
2015-01-09,"4,050","4,035","4,380","4,105",9.29022673
2015-01-10,"4,105","3,955","4,220","4,160",4.53735005
2015-01-11,"3,960","3,955","4,085","3,955",1.82638922
2015-01-12,"3,955","3,600","4,340","3,600",15.19485279
2015-01-13,"3,602","3,325","3,602","3,450",11.46031492
2015-01-14,"3,308","2,670","3,308","2,980",16.63896715
2015-01-15,"3,000","2,850","3,450","3,280",28.21668837
2015-01-16,"3,145","2,985","3,209","3,089",15.70750029
2015-01-17,"3,005","2,960","3,089","2,960",6.29500183
2015-01-18,"2,945.5","2,918","3,175","3,175",20.73778188
2015-01-19,"3,095","3,000","3,125","3,110",18.19856164
2015-01-20,"3,065.5","3,060","3,180","3,145",31.15861866
2015-01-21,"3,148","3,110","3,499.99","3,410",58.07201847
2015-01-22,"3,400","3,355","3,435","3,378",25.2126632
2015-01-23,"3,355","3,350","3,440","3,405",24.16014717
2015-01-24,"3,430","3,430","3,700","3,690",37.09319757
2015-01-25,"3,625","3,564","4,339","4,148",26.37024561
2015-01-26,"4,238","3,760","4,400","3,763.76",26.29722036
2015-01-27,"3,760","3,760","4,015","3,828.83",25.00081243
2015-01-28,"3,828.83","3,266","3,828.83","3,560",56.77056502
2015-01-29,"3,520","3,480","3,700","3,655",32.84512416
2015-01-30,"3,655","3,336","3,675","3,460",41.87913013
2015-01-31,"3,485","3,300","3,555","3,300.5",22.64432453
2015-02-01,"3,345","3,290","3,525","3,380",16.45033132
2015-02-02,"3,380","3,186","3,653","3,500",42.82423227
2015-02-03,"3,520","3,175","3,535","3,300",46.94785503
2015-02-04,"3,355","3,150","3,355","3,315",49.50278622
2015-02-05,"3,315","3,125","3,320","3,240",37.3583667
2015-02-06,"3,240","3,150","3,360","3,300",14.7921871
2015-02-07,"3,325","3,300","3,380","3,340",14.17266419
2015-02-08,"3,300","3,221","3,409","3,245",7.78066292
2015-02-09,"3,281.5","3,185","3,342","3,235",17.27106869
2015-02-10,"3,285","3,201","3,350","3,350",23.23613522
2015-02-11,"3,282","3,278","3,375","3,325",22.8640221
2015-02-12,"3,278","3,278","3,370","3,330",14.44457507
2015-02-13,"3,355","3,355","3,588","3,550",30.08457278
2015-02-14,"3,675","3,625","3,865","3,850",6.35686003
2015-02-15,"3,900","3,439","3,900","3,535",18.19308011
2015-02-16,"3,507.5","3,495","3,545","3,545",10.72629443
2015-02-17,"3,525","3,505","3,698","3,630",17.5359549
2015-02-18,"3,645","3,532","3,698","3,595",22.6071651
2015-02-19,"3,545","3,545","3,698","3,630",39.8053182
2015-02-20,"3,694.25","3,670","3,786","3,776",34.13219776
2015-02-21,"3,753","3,708","3,790","3,754.75",11.45155777
2015-02-22,"3,786","3,520","3,786","3,642",3.57017249
2015-02-23,"3,632","3,590","3,675","3,675",10.01290862
2015-02-24,"3,675","3,585","3,675","3,611",12.27118948
2015-02-25,"3,624","3,525","3,675","3,592",29.21548537
